ModuleCode;ModuleName;ModuleDepartment;ModuleCredit
AR5952M;"Topics In Urban Studies - Making Liveable Cities";ARCHITECTURE;4
AR5952Z;"Topics in Urban Studies 2 Elective";ARCHITECTURE;4
AR5953L;"Topics in Design Technology - Design Space Exploration";ARCHITECTURE;4
AR5953N;"Topics In Design Technology - Rapid Prototyping";ARCHITECTURE;4
AS4232;"Topics in American Literature";"ENGLISH LANGUAGE & LITERATURE";5
BFS1001;"Personal Development & Career Management";"DEAN'S OFFICE (BIZ)";0
BHD4001;"Honours Dissertation";"DEAN'S OFFICE (BIZ)";12
BHD4001A;"Honours Dissertation";"DEAN'S OFFICE (BIZ)";0
BHD4001B;"Honours Dissertation";"DEAN'S OFFICE (BIZ)";0
BHD4001C;"Honours Dissertation";"DEAN'S OFFICE (BIZ)";12
BLD3001;"Business Leadership Case Analysis";"DEAN'S OFFICE (BIZ)";4
BLD3002;"CEOs as Leaders";"DEAN'S OFFICE (BIZ)";2
BLD3003;"Personal Leadership Development";"DEAN'S OFFICE (BIZ)";2
BLD3004;"Topics in Leadership";"DEAN'S OFFICE (BIZ)";4
BN2001;"Independent Study";"BIOMEDICAL ENGINEERING";4
BN2103;"Bioengineering Design Workshop";"BIOMEDICAL ENGINEERING";2
BN2201;"Quantitative Physiology for Bioengineers";"BIOMEDICAL ENGINEERING";4
BN2203;"Introduction to Bioengineering Design";"BIOMEDICAL ENGINEERING";4
BN2401;"Biosignals Processing";"BIOMEDICAL ENGINEERING";4
BN3401;"Biomedical Electronics & Systems";"BIOMEDICAL ENGINEERING";4
BN3501;"Equilibrium and Kinetic Bioprocesses";"BIOMEDICAL ENGINEERING";4
BN4101R;"B.Eng. Dissertation";"BIOMEDICAL ENGINEERING";12
BN4201;"Musculoskeletal Biomechanics";"BIOMEDICAL ENGINEERING";4
BN4203;"Rehabilitation Engineering";"BIOMEDICAL ENGINEERING";4
BN4402;Electrophysiology;"BIOMEDICAL ENGINEERING";4
BN4404;"Bioelectromechanical Systems - Biomems";"BIOMEDICAL ENGINEERING";4
BSP1004;"Legal Environment Of Business";"STRATEGY AND POLICY";4
BSP1004X;"Legal Environment Of Business";"STRATEGY AND POLICY";4
BSP1005;"Managerial Economics";"STRATEGY AND POLICY";4
BSP2001;"Macro And International Economics";"STRATEGY AND POLICY";4
BSP2005;"Asian Business Environments";"STRATEGY AND POLICY";4
BSP3001A;"Strategic Management";"STRATEGY AND POLICY";4
BSP3001B;"Strategic Management";"STRATEGY AND POLICY";4
BSP3001C;"Strategic Management";"STRATEGY AND POLICY";4
BSP4512;"Global Strategic Management";"STRATEGY AND POLICY";4
CE2112;"Soil Mechanics";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE2183;"Construction Project Management";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE3101;"Integrated Infrastructure Project";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE3102;"Engineering of Socio-Technical Systems";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE3116;"Foundation Engineering";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE3132;"Water Resources Engineering";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE3155;"Structural Analysis";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE3165;"Structural Concrete Design";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE4103;"Design Project";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE4104;"B. Eng. Dissertation";"CIVIL & ENVIRONMENTAL ENGINEERING";8
CE4221;"Design of Land Transport Infrastructures";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE4231;"Earth's Climate: Science & Modelling";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE4247;"Treatment Plant Hydraulics";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE4258;"Structural Stability & Dynamics";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE4282;"Building Information Modeling for Project Management";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5105;"Analytical & Numerical Methods In Foundation Engineering";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5106;"Ground Improvement";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5107;"Pile Foundations";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5207;"Pavement Network Management Systems";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5308;"Coastal Processes & Sediment Transport";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5313;"Groundwater Hydrology";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5603;"Engineering Economics & Project Evaluation";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5604;"Advanced Concrete Technology";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5611;"Precast Concrete Technology";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5805;"CONSTRUCTION EQUIPMENT & METHODS";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5881;"TOPICS IN GEOTECHNICAL ENGINEERING: SOIL DYNAMICS";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CE5883A;"Topics in Hydraulic & Water Resources - Environmental Hydraulics";"CIVIL & ENVIRONMENTAL ENGINEERING";4
CG1108;"Electrical Engineering";"COMPUTING & ENGINEERING";4
CG2271;"Real-Time Operating Systems";"COMPUTING & ENGINEERING";4
CG3204L;"Computer Networks Laboratory";"COMPUTING & ENGINEERING";4
CG4001;"B. Eng. Dissertation";"COMPUTING & ENGINEERING";12
CH1101E;"Introduction to Chinese Studies";"CHINESE STUDIES";4
CH2141;"General History of China";"CHINESE STUDIES";4
CH2223;"Chinese Fiction";"CHINESE STUDIES";4
CH2273;"Chinese Media in Singapore: Theory and Practice";"CHINESE STUDIES";4
CH2291;"Chinese Tradition (taught in English)";"CHINESE STUDIES";4
CH2297;"Exploring Chinese Cinema: Shanghai-Hong Kong-Singapore";"CHINESE STUDIES";4
CH3223;"Selected Authors/Texts II";"CHINESE STUDIES";4
CH3226;"Modern Chinese Literature";"CHINESE STUDIES";4
CH3229;"Modern Literature in Taiwan and Hong Kong";"CHINESE STUDIES";4
CH3248;"Contemporary China: 1949 to Present";"CHINESE STUDIES";4
CH3295;"Understanding China: Past and Present (in English)";"CHINESE STUDIES";4
CH4244;"Selected Topics on The Overseas Chinese";"CHINESE STUDIES";5
CH4261;"Prescribed Text: Zhuangzi";"CHINESE STUDIES";5
CH4281;"Translation Studies";"CHINESE STUDIES";5
CH4401;"Honours Thesis";"CHINESE STUDIES";15
CH4660;"Independent Study";"CHINESE STUDIES";5
CH5225;"TOPICS IN SE ASIAN CHINESE LITERATURE";"CHINESE STUDIES";4
CH5225R;"TOPICS IN SE ASIAN CHINESE LITERATURE";"CHINESE STUDIES";5
CH5242;"Selected Texts in Chinese Historiography";"CHINESE STUDIES";4
CH5242R;"Selected Texts in Chinese Hist";"CHINESE STUDIES";5
CH5660;"INDEPENDENT STUDY";"CHINESE STUDIES";4
CH5880;"Topics in Applied Chinese Linguistics";"CHINESE STUDIES";4
CH5880R;"Topics in Applied Chinese Linguistics";"CHINESE STUDIES";5
CH6201;"TOPICS IN CHINESE LINGUISTICS";"CHINESE STUDIES";4
CH6245;"Culture and Society in Chinese History";"CHINESE STUDIES";4
CH6262;"INDEPENDENT STUDY IN CHINESE STUDIES";"CHINESE STUDIES";4
CL1101E;"Introduction to Chinese Language";"CHINESE STUDIES";4
CL2103;"Chinese Grammar";"CHINESE STUDIES";4
CL2241;"General History of China";"CHINESE STUDIES";4
CL2260;"Selected Readings";"CHINESE STUDIES";4
CL2281;"Translation and Interpretation";"CHINESE STUDIES";4
CL2291;"Chinese Anthropolinguistics (taught in English)";"CHINESE STUDIES";4
CL3205;"Topics on Chinese Linguistics II";"CHINESE STUDIES";4
CL3208;"Chinese Phonology";"CHINESE STUDIES";4
CL3211;"The Standardization of the Chinese Language";"CHINESE STUDIES";4
CL3281;"Advanced Translation";"CHINESE STUDIES";4
CM1121;"Organic Chemistry 1";CHEMISTRY;4
CM1161;"Principles of Chemical Process I";CHEMISTRY;4
CM1191;"Experiments in Chemistry 1";CHEMISTRY;4
CM1402;"General Chemistry";CHEMISTRY;4
CM1502;"General and Physical Chemistry for Engineers";CHEMISTRY;4
CM2101;"Physical Chemistry 2";CHEMISTRY;4
CM2111;"Inorganic Chemistry 2";CHEMISTRY;4
CM2121;"Organic Chemistry 2";CHEMISTRY;4
CM2142;"Analytical Chemistry 1";CHEMISTRY;4
CM2161;"Principles of Chemical Process II";CHEMISTRY;4
CM2191;"Experiments in Chemistry 2.";CHEMISTRY;4
CM2192;"Experiments in Chemistry 3.";CHEMISTRY;4
CM2192A;"Experiments in Chemistry 3A";CHEMISTRY;2
CM2288;"Basic UROPS in Chemistry I";CHEMISTRY;4
CM2289;"Basic UROPS In Chemistry II";CHEMISTRY;4
CM3181;"Professional Placement Applied Chemistry";CHEMISTRY;8
CM3193;"Industrial Process Laboratory";CHEMISTRY;4
CM3194;"Synthesis and Instrumentation Laboratory";CHEMISTRY;4
CM3211;"Organometallic Chemistry";CHEMISTRY;4
CM3222;"Organic Reaction Mechanisms";CHEMISTRY;4
CM3225;Biomolecules;CHEMISTRY;4
CM3232;"Phy Chem of the Solid State & Interfaces";CHEMISTRY;4
CM3251;Nanochemistry;CHEMISTRY;4
CM3253;"Materials Chemistry 1";CHEMISTRY;4
CM3261;"Environmental Chemistry";CHEMISTRY;4
CM3262;"Advanced Inorganic Materials";CHEMISTRY;4
CM3264;"Petroleum and Industrial Organics";CHEMISTRY;4
CM3265;"Polymer Chemistry II";CHEMISTRY;4
CM3288;"Advanced UROPS in Chemistry I";CHEMISTRY;4
CM3289;"Advanced UROPS in Chemistry II";CHEMISTRY;4
CM3291;"Advanced Experiments In Organic & Inorganic Chemistry";CHEMISTRY;4
CM3292;"Advanced Experiments In Analytical & Physical Chemistry";CHEMISTRY;4
CM3295;"Selected Experiments in Analytical Chem.";CHEMISTRY;4
CM3296;"Molecular Modelling: Theory & Practice";CHEMISTRY;4
CM3301;"Advanced Forensic Science";CHEMISTRY;4
CM3302;"Overseas Exploratory Project (Europe)";CHEMISTRY;2
CM3303;"Overseas Exploratory Project (CHINA)";CHEMISTRY;2
CM3312;"Extended Undergraduate Professional Internship";CHEMISTRY;8
CM4199A;"Honours Project in Chemistry";CHEMISTRY;16
CM4199B;"Honours Project in Applied Chemistry";CHEMISTRY;16
CM4201;"DIRECTED INDEPENDENT STUDY IN MODERN CHEMISTRY";CHEMISTRY;4
CM4214;"Structural Methods in Inorganic Chem";CHEMISTRY;4
CM4236;"Spectroscopy in Biophysical Chemistry";CHEMISTRY;4
CM4241;"Trace Analysis";CHEMISTRY;4
CM4242;"Advanced Analytical Techniques";CHEMISTRY;4
CM4268;"Advanced Polymer Science";CHEMISTRY;4
CM4269;"Sustainable & Green Chemistry";CHEMISTRY;4
CM4271;"MEDICINAL CHEMISTRY";CHEMISTRY;4
CM4274;"The Art and Methodology in Total Synthesis";CHEMISTRY;4
CM5225;"Asymmetric Catalysis";CHEMISTRY;4
CM5237;"Advanced Optical Spectroscopy and Imaging";CHEMISTRY;4
CM5245;BIOANALYTICALCHEMISTRY;CHEMISTRY;4
CM5262;"Contemporary Materials Chemistry";CHEMISTRY;4
CN1111;"Chemical Engineering Principles";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN1111E;"Chemical Engineering Principles";"BACHELOR OF TECHNOLOGY PROGRAMME";4
CN2108;"Chemical Engineering Process Laboratory I";"CHEMICAL & BIOMOLECULAR ENGINEERING";2
CN2116;"Chemical Kinetics & Reactor Design";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN2116E;"Chemical Kinetics And Reactor Design";"BACHELOR OF TECHNOLOGY PROGRAMME";4
CN2121;"Chemical Engineering Thermodynamics";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN2122;"Fluid Mechanics";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN2125;"Heat & Mass Transfer";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN2125E;"Heat And Mass Transfer";"BACHELOR OF TECHNOLOGY PROGRAMME";4
CN3108;"Chemical Engineering Process Laboratory II";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN3109;"Chemical Engineering Process Laboratory III";"CHEMICAL & BIOMOLECULAR ENGINEERING";2
CN3124;"Fluid-Solid Systems";"CHEMICAL & BIOMOLECULAR ENGINEERING";3
CN3124E;"Particle Technology";"BACHELOR OF TECHNOLOGY PROGRAMME";4
CN3132;"Separation Processes";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN3135;"Process Safety Health and Environment";"CHEMICAL & BIOMOLECULAR ENGINEERING";3
CN3421;"Process Modeling And Numerical Simulation";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN4118E;"B.Tech. Dissertation";"BACHELOR OF TECHNOLOGY PROGRAMME";10
CN4118R;"B.Eng. Dissertation";"CHEMICAL & BIOMOLECULAR ENGINEERING";10
CN4121;"Design Project";"CHEMICAL & BIOMOLECULAR ENGINEERING";10
CN4122;"Process Synthesis and Simulation";"CHEMICAL & BIOMOLECULAR ENGINEERING";3
CN4123E;"Design Project";"BACHELOR OF TECHNOLOGY PROGRAMME";7
CN4201R;"Petroleum Refining";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN4203R;"Polymer Engineering";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN4208E;"Biochemical Engineering";"BACHELOR OF TECHNOLOGY PROGRAMME";4
CN4210E;"Membrane Science And Engineering";"BACHELOR OF TECHNOLOGY PROGRAMME";4
CN4223R;"Microelectronic Thin Films";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN4227E;"Advanced Process Control";"BACHELOR OF TECHNOLOGY PROGRAMME";4
CN4227R;"Advanced Process Control";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN4238R;"Chemical & Biochemical Process Modeling";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN4240R;"Processes for Effluent Control";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN4246R;"Chemical and Bio Catalysis";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN4248;"Sustainable Process Development";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN5111;"OPTIMIZATION OF CHEMICAL PROCESSES";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CN5173;"DOWNSTREAM PROCESSING OF BIOCHEMICAL & PHARMACEUTICAL PRODUCTS";"CHEMICAL & BIOMOLECULAR ENGINEERING";4
CP3101A;"Global Open Source Project";"DEAN'S OFFICE (SCHOOL OF COMPUTING)";4
CP3101B;"Web Programming and Applications";"COMPUTER SCIENCE";4
CP3106;"Independent Project";"DEAN'S OFFICE (SCHOOL OF COMPUTING)";4
CP3108A;"Independent Work";"DEAN'S OFFICE (SCHOOL OF COMPUTING)";2
CP3108B;"Independent Work";"DEAN'S OFFICE (SCHOOL OF COMPUTING)";4
CP3109;"Overseas Exploratory Project";"DEAN'S OFFICE (SCHOOL OF COMPUTING)";2
CP3200;Internship;"DEAN'S OFFICE (SCHOOL OF COMPUTING)";6
CP3201;"Industry Seminar";"DEAN'S OFFICE (SCHOOL OF COMPUTING)";2
CP3208;"Undergraduate Research in Computing I";"DEAN'S OFFICE (SCHOOL OF COMPUTING)";4
CP3209;"Undergraduate Research in Computing II";"DEAN'S OFFICE (SCHOOL OF COMPUTING)";4
CP3880;"Advanced Technology Attachment Programme";"DEAN'S OFFICE (SCHOOL OF COMPUTING)";12
CP4101;"B.Comp. Dissertation";"DEAN'S OFFICE (SCHOOL OF COMPUTING)";12
CS1010;"Programming Methodology";"COMPUTER SCIENCE";4
CS1010E;"Programming Methodology";"COMPUTER SCIENCE";4
CS1010FC;"Programming Methodology";"COMPUTER SCIENCE";4
CS1010R;"Programming Methodology";"COMPUTER SCIENCE";1
CS1010S;"Programming Methodology";"COMPUTER SCIENCE";4
CS1020;"Data Structures and Algorithms I";"COMPUTER SCIENCE";4
CS1020E;"Data Structures and Algorithms I";"COMPUTER SCIENCE";4
CS1231;"Discrete Structures";"COMPUTER SCIENCE";4
CS1231R;"Discrete Structures";"COMPUTER SCIENCE";1
CS2010;"Data Structures and Algorithms II";"COMPUTER SCIENCE";4
CS2020;"Data Structures and Algorithms Accelerated";"COMPUTER SCIENCE";6
CS2100;"Computer Organisation";"COMPUTER SCIENCE";4
CS2100R;"Computer Organisation";"COMPUTER SCIENCE";1
CS2101;"Effective Communication for Computing Professionals";"CTR FOR ENGLISH LANGUAGE COMMUNICATION";4
CS2102;"Database Systems";"COMPUTER SCIENCE";4
CS2102R;"Database Systems";"COMPUTER SCIENCE";1
CS2103;"Software Engineering";"COMPUTER SCIENCE";4
CS2103R;"Software Engineering";"COMPUTER SCIENCE";1
CS2103T;"Software Engineering";"COMPUTER SCIENCE";4
CS2104R;"Programming Language Concepts";"COMPUTER SCIENCE";1
CS2105;"Introduction to Computer Networks";"COMPUTER SCIENCE";4
CS2105R;"Introduction to Computer Networks";"COMPUTER SCIENCE";1
CS2106;"Introduction to Operating Systems";"COMPUTER SCIENCE";4
CS2106R;"Introduction to Operating Systems";"COMPUTER SCIENCE";1
CS2107;"Introduction to Information and System Security";"COMPUTER SCIENCE";4
CS3103;"Computer Networks and Protocols";"COMPUTER SCIENCE";4
CS3103L;"Computer Networks Laboratory";"COMPUTER SCIENCE";2
CS3201;"Software Engineering Project I";"COMPUTER SCIENCE";4
CS3202;"Software Engineering Project II";"COMPUTER SCIENCE";4
CS3210;"Parallel Computing";"COMPUTER SCIENCE";4
CS3211;"Parallel and Concurrent Programming";"COMPUTER SCIENCE";4
CS3217;"Software Engineering on Modern Application Platforms";"COMPUTER SCIENCE";5
CS3218;"Multimodal Processing in Mobile Platforms";"COMPUTER SCIENCE";4
CS3223;"Database Systems Implementation";"COMPUTER SCIENCE";4
CS3225;"Combinatorial Methods in Bioinformatics";"COMPUTER SCIENCE";4
CS3230;"Design and Analysis of Algorithms";"COMPUTER SCIENCE";4
CS3230R;"Design and Analysis of Algorithms";"COMPUTER SCIENCE";1
CS3233;"Competitive Programming";"COMPUTER SCIENCE";4
CS3233R;"Competitive Programming";"COMPUTER SCIENCE";1
CS3234;"Logic and Formal Systems";"COMPUTER SCIENCE";4
CS3240;"Interaction Design";"COMPUTER SCIENCE";4
CS3241;"Computer Graphics";"COMPUTER SCIENCE";4
CS3241R;"Computer Graphics";"COMPUTER SCIENCE";1
CS3242;"3D Modeling and Animation";"COMPUTER SCIENCE";4
CS3243;"Introduction to Artificial Intelligence";"COMPUTER SCIENCE";4
CS3243R;"Introduction to Artificial Intelligence";"COMPUTER SCIENCE";1
CS3245;"Information Retrieval";"COMPUTER SCIENCE";4
CS3247;"Game Development";"COMPUTER SCIENCE";4
CS3249;"User Interface Development";"COMPUTER SCIENCE";4
CS3282;"Thematic Systems Project II";"COMPUTER SCIENCE";4
CS3284;"Media Technology Project II";"COMPUTER SCIENCE";4
CS3343;"Digital Media Production";"COMPUTER SCIENCE";4
CS3882;"Breakthrough Ideas for Digital Markets";"COMPUTER SCIENCE";4
CS4215;"Programming Language Implementation";"COMPUTER SCIENCE";4
CS4218;"Software Testing and Debugging";"COMPUTER SCIENCE";4
CS4220;"Knowledge Discovery Methods in Bioinformatics";"COMPUTER SCIENCE";4
CS4222;"Wireless Computing and Sensor Networks";"COMPUTER SCIENCE";4
CS4231;"Parallel and Distributed Algorithms";"COMPUTER SCIENCE";4
CS4236;"Cryptography Theory and Practice";"COMPUTER SCIENCE";4
CS4242;"Social Media Computing";"COMPUTER SCIENCE";4
CS4243R;"Computer Vision and Pattern Recognition";"COMPUTER SCIENCE";1
CS4244;"Knowledge-Based Systems";"COMPUTER SCIENCE";4
CS4246R;"AI Planning and Decision Making";"COMPUTER SCIENCE";1
CS4247;"Graphics Rendering Techniques";"COMPUTER SCIENCE";4
CS4248R;"Natural Language Processing";"COMPUTER SCIENCE";1
CS4340;"Digital Special Effects";"COMPUTER SCIENCE";4
CS4347;"Sound and Music Computing";"COMPUTER SCIENCE";4
CS4880;"Digital Entrepreneurship";"DEAN'S OFFICE (SCHOOL OF COMPUTING)";4
CS5214;"Design of Optimising Compilers";"COMPUTER SCIENCE";4
CS5218;"Principles of Program Analysis";"COMPUTER SCIENCE";4
CS5222;"Advanced Computer Architecture";"COMPUTER SCIENCE";4
CS5230;"Computational Complexity";"COMPUTER SCIENCE";4
CS5231;"Systems Security";"COMPUTER SCIENCE";4
CS5232;"Formal Specification and Design Techniques";"COMPUTER SCIENCE";4
CS5233;"Simulation and Modelling Techniques";"COMPUTER SCIENCE";4
CS5241;"Speech Processing";"COMPUTER SCIENCE";4
CS5272;"Embedded Software Design";"COMPUTER SCIENCE";4
CS5331;"Web Security";"COMPUTER SCIENCE";4
CS5342;"Multimedia Computing and Applications";"COMPUTER SCIENCE";4
CZ5226;"Advanced Bioinformatics";PHARMACY;4
DSC1007;"Business Analytics - Models & Decisions";"DECISION SCIENCES";4
DSC1007X;"Business Analytics - Models & Decisions";"DECISION SCIENCES";4
DSC2006;"Operations Management";"DECISION SCIENCES";4
DSC2008;"Business Analytics - Data & Decisions";"DECISION SCIENCES";4
DSC3201;"Supply Chain Management";"DECISION SCIENCES";4
DSC3202;"Purchasing And Materials Management";"DECISION SCIENCES";4
DSC3203;"Service Operations Management";"DECISION SCIENCES";4
DSC3213;"Strategic Information Systems";"DECISION SCIENCES";4
DSC3216;"Forecasting For Managerial Decisions";"DECISION SCIENCES";4
DSC3222M;"TIOSCM: Business Practicum";"DECISION SCIENCES";4
DSC3224;"Dynamic Pricing & Revenue Management";"DECISION SCIENCES";4
DSC3226;"Sustainable Operations Management";"DECISION SCIENCES";4
DSC3229;"Independent Study in Ops & Supply Chain Mgt";"DECISION SCIENCES";4
DSC4211C;"SIOSCM: OPERATIONS STRATEGY";"DECISION SCIENCES";4
DSC4211G;"SIOSCM: Service Design";"DECISION SCIENCES";4
DSC4219;"Advanced Independent Study in Ops & Supply Chain Mgt";"DECISION SCIENCES";4
DSC5121;"Hands-on with Business Analytics (Supply Chain & Finance)";"DECISION SCIENCES";4
DSC5211A;"Supply Chain Coordination and Risk Management";"DECISION SCIENCES";4
EC1101E;"Introduction to Economic Analysis";ECONOMICS;4
EC1301;"Principles of Economics";ECONOMICS;4
EC2101;"Microeconomic Analysis I";ECONOMICS;4
EC2102;"Macroeconomic Analysis I";ECONOMICS;4
EC2104;"Quantitative Methods for Economic Analysis";ECONOMICS;4
EC2303;"Foundations for Econometrics";ECONOMICS;4
EC2373;"Global Economic Dimensions of Singapore";ECONOMICS;4
EC2374;"Economy of Modern China I";ECONOMICS;4
EC3101;"Microeconomic Analysis II";ECONOMICS;4
EC3102;"Macroeconomic Analysis II";ECONOMICS;4
EC3303;"Econometrics I";ECONOMICS;4
EC3304;"Econometrics II";ECONOMICS;4
EC3312;"Game Theory & Applications to Economics";ECONOMICS;4
EC3322;"Industrial Organisation I";ECONOMICS;4
EC3332;"Money and Banking I";ECONOMICS;4
EC3333;"Financial Economics I";ECONOMICS;4
EC3341;"International Economics I";ECONOMICS;4
EC3351;"Public Finance";ECONOMICS;4
EC3352;"Seminar in Singapore's Economic Policy";ECONOMICS;4
EC3361;"Labour Economics I";ECONOMICS;4
EC3371;"Development Economics I";ECONOMICS;4
EC3375;"Economy and Business of Japan and Korea";ECONOMICS;4
EC3376;"European Economic Integration";ECONOMICS;4
EC3377;"Global Economic History";ECONOMICS;4
EC3381;"Urban Economics";ECONOMICS;4
EC3384;"Resource and Energy Economics I";ECONOMICS;4
EC3394;"Economics and Psychology";ECONOMICS;4
EC3396;"Economic Analysis of Law I";ECONOMICS;4
EC3551;"FASS Undergraduate Research Opportunity (UROP)";ECONOMICS;4
EC3880B;"Topics in Economics: Economics of Ageing";ECONOMICS;4
EC4101;"Microeconomic Analysis III";ECONOMICS;5
EC4102;"Macroeconomic Analysis III";ECONOMICS;5
EC4324;"Economics of Competition Policy";ECONOMICS;5
EC4332;"Money and Banking II";ECONOMICS;5
EC4333;"Financial Economics II";ECONOMICS;5
EC4341;"International Economics II";ECONOMICS;5
EC4351;"Public Economics";ECONOMICS;5
EC4361;"Labour Economics II";ECONOMICS;5
EC4371;"Development Economics II";ECONOMICS;5
EC4394;"Behavioural Economics";ECONOMICS;5
EC4401;"Honours Thesis";ECONOMICS;15
EC4660;"Independent Study";ECONOMICS;5
EC4880;"Topics in Economics";ECONOMICS;5
EC5326R;"Policy Impact Evaluation Methods";ECONOMICS;5
EC5332R;"Money & Banking";ECONOMICS;5
EE1003;"Introduction to Signals and Communications";"ELECTRICAL & COMPUTER ENGINEERING";4
EE2011;"Engineering Electromagnetics";"ELECTRICAL & COMPUTER ENGINEERING";4
EE2011E;"Engineering Electromagnetics";"BACHELOR OF TECHNOLOGY PROGRAMME";4
EE2012;"Analytical Methods In ECE";"ELECTRICAL & COMPUTER ENGINEERING";4
EE2020;"Digital Fundamentals";"ELECTRICAL & COMPUTER ENGINEERING";5
EE2020E;"Digital Fundamentals";"BACHELOR OF TECHNOLOGY PROGRAMME";5
